2-175-1-0memoire;M.Sc. en informatique (option générale avec mémoire)
2-175-1-0stage;M.Sc. en informatique (option générale avec stage)
2-175-1-0travaux;M.Sc. en informatique (option générale avec travaux dirigés)
2-175-1-0imagerie;M.Sc. en informatique (option imagerie)
2-175-1-0ai;M.Sc. en informatique (option intelligence artificielle)
2-175-1-0bioinfo;M.Sc. en informatique (option biologie computationnelle)
2-175-1-0theorique;M.Sc. en informatique (option informatique théorie)
2-175-1-0genielog;M.Sc. en informatique (option prog. et génie log.)
2-175-1-0ro;M.Sc. en informatique (option recherche opérationnelle)
2-175-1-0ml;M.Sc. en informatique (option apprentissage automatique)
